run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1272.320,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,0.871,3.229020,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,27.019,4.850915,13.833984,1.429386
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,53.564,6.748185,13.833984,1.429386
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,79.962,8.547624,13.833984,1.429386
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,106.212,9.009202,13.833984,1.429386
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,132.803,9.470781,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,159.199,9.605676,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,185.424,9.605676,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,211.873,9.605676,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,238.381,9.605676,13.833984,1.429382
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,265.039,9.605676,13.833984,1.429386
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,291.298,9.605676,13.833984,1.429394
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,317.578,9.605676,13.833984,1.429398
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,344.694,10.763895,13.833984,1.429405
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,371.006,10.763895,13.833984,1.429409
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,397.272,9.268985,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,424.455,8.732582,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,450.842,8.599641,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,477.539,8.462427,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,503.933,8.415366,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,530.079,8.282241,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,556.786,8.149117,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,583.094,8.023813,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,609.478,7.898497,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,635.786,7.765373,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,662.246,7.683212,13.833984,1.429565
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,689.014,7.553812,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,715.147,7.436312,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,742.241,7.287563,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,769.221,7.150654,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,795.786,7.017529,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,822.438,6.884405,13.833984,1.429573
