iter,mode,t_ms,cpu_rss_gib,gpu_alloc_gib,gpu_reserved_gib
0,slide,1011.683,4.671970,0.777737,0.808594
0,slide,1017.261,4.671970,0.777737,0.808594
0,slide,1022.762,4.675934,0.776761,0.808594
0,slide,1028.804,4.708767,0.776761,0.808594
0,slide,1034.316,4.739830,0.776761,0.808594
0,slide,1040.097,4.775654,0.776761,0.808594
0,slide,1046.146,4.808422,0.776761,0.808594
0,slide,1052.493,4.845352,0.776761,0.808594
0,slide,1058.267,4.883007,0.776761,0.808594
0,slide,1064.226,4.884968,0.777737,0.808594
0,slide,1070.065,4.884968,0.777737,0.808594
0,slide,1075.995,4.889668,0.776761,0.808594
0,slide,1081.867,4.923042,0.776761,0.808594
0,slide,1087.815,4.959110,0.776761,0.808594
0,slide,1094.471,5.002380,0.776761,0.808594
0,slide,1100.639,5.040867,0.776761,0.808594
0,slide,1106.637,5.066402,0.776761,0.808594
0,slide,1112.685,5.095882,0.780668,0.808594
0,slide,1118.766,5.095882,0.777737,0.808594
0,slide,1124.843,5.095882,0.777737,0.808594
0,slide,1130.456,5.109241,0.776761,0.808594
0,slide,1136.412,5.141121,0.776761,0.808594
0,slide,1142.150,5.170696,0.776761,0.808594
0,slide,1148.115,5.205116,0.776761,0.808594
0,slide,1153.781,5.235195,0.776761,0.808594
0,slide,1161.885,5.277927,0.776761,0.808594
0,slide,1167.666,5.308746,0.776761,0.808594
0,slide,1173.334,5.308746,0.777737,0.808594
0,slide,1179.264,5.308746,0.777737,0.808594
0,slide,1185.402,5.324078,0.776761,0.808594
0,slide,1192.321,5.355408,0.776761,0.808594
0,slide,1198.441,5.386124,0.776761,0.808594
0,slide,1204.673,5.417919,0.776761,0.808594
0,slide,1210.551,5.446781,0.776761,0.808594
0,slide,1217.857,5.484016,0.776761,0.808594
0,slide,1224.656,5.518848,0.776761,0.808594
0,slide,1230.940,5.519657,0.777737,0.808594
0,slide,1236.535,5.519657,0.777737,0.808594
0,slide,1242.209,5.519657,0.777737,0.808594
0,slide,1248.095,5.543087,0.776761,0.808594
0,slide,1253.987,5.566517,0.776761,0.808594
0,slide,1260.123,5.597095,0.776761,0.808594
0,slide,1266.184,5.631638,0.776761,0.808594
0,slide,1272.353,5.670376,0.776761,0.808594
0,slide,1278.682,5.699627,0.776761,0.808594
0,slide,1284.756,5.730568,0.776761,0.808594
0,slide,1291.174,5.732529,0.777737,0.808594
0,slide,1297.221,5.732529,0.777737,0.808594
0,slide,1303.053,5.739304,0.776761,0.808594
0,slide,1308.805,5.765965,0.776761,0.808594
0,slide,1314.491,5.793732,0.776761,0.808594
0,slide,1320.365,5.827759,0.776761,0.808594
0,slide,1326.983,5.857998,0.776761,0.808594
0,slide,1332.852,5.892784,0.776761,0.808594
0,slide,1338.790,5.923161,0.776761,0.808594
0,slide,1345.091,5.943439,0.780201,0.808594
0,slide,1351.055,5.943439,0.777737,0.808594
0,slide,1357.271,5.943439,0.777737,0.808594
0,slide,1363.279,5.962479,0.776761,0.808594
0,slide,1369.216,5.991398,0.776761,0.808594
0,slide,1375.820,6.024860,0.776761,0.808594
0,slide,1381.879,6.057678,0.776761,0.808594
0,slide,1387.714,6.092888,0.776761,0.808594
0,slide,1394.101,6.123959,0.776761,0.808594
0,slide,1399.898,6.154350,0.776761,0.808594
0,slide,1405.859,6.156307,0.777737,0.808594
0,slide,1411.520,6.156307,0.777737,0.808594
0,slide,1417.800,6.160172,0.776761,0.808594
0,slide,1423.759,6.187565,0.776761,0.808594
0,slide,1429.953,6.213806,0.776761,0.808594
0,slide,1435.903,6.234436,0.776761,0.808594
0,slide,1441.726,6.270081,0.776761,0.808594
0,slide,1447.368,6.290489,0.776761,0.808594
0,slide,1453.627,6.325924,0.776761,0.808594
0,slide,1459.469,6.356220,0.776761,0.808594
0,slide,1466.139,6.367245,0.777737,0.808594
0,slide,1472.123,6.367249,0.777737,0.808594
0,slide,1478.021,6.367252,0.777737,0.808594
0,slide,1484.731,6.390705,0.776761,0.808594
0,slide,1490.834,6.415825,0.776761,0.808594
0,slide,1496.959,6.448315,0.776761,0.808594
0,slide,1503.000,6.480030,0.776761,0.808594
0,slide,1509.213,6.515942,0.776761,0.808594
0,slide,1516.846,6.544968,0.776761,0.808594
0,slide,1522.760,6.578228,0.776761,0.808594
0,slide,1528.922,6.580185,0.777737,0.808594
0,slide,1534.712,6.580185,0.777737,0.808594
0,slide,1540.429,6.580185,0.777737,0.808594
0,slide,1546.204,6.593391,0.776761,0.808594
0,slide,1552.911,6.617840,0.776761,0.808594
0,slide,1558.626,6.649330,0.776761,0.808594
0,slide,1564.529,6.682041,0.776761,0.808594
0,slide,1570.306,6.707249,0.776761,0.808594
0,slide,1575.969,6.739471,0.776761,0.808594
0,slide,1581.874,6.766876,0.776761,0.808594
0,slide,1587.553,6.791164,0.780179,0.808594
0,slide,1593.595,6.791164,0.777737,0.808594
0,slide,1599.374,6.791164,0.777737,0.808594
0,slide,1604.969,6.804905,0.776761,0.808594
0,slide,1611.677,6.822529,0.776761,0.808594
0,slide,1617.772,6.849319,0.776761,0.808594
0,slide,1625.938,6.889519,0.776761,0.808594
0,slide,1631.900,6.910717,0.776761,0.808594
0,slide,1637.826,6.944252,0.776761,0.808594
0,slide,1643.903,6.966560,0.776761,0.808594
0,slide,1649.989,7.000454,0.776761,0.808594
0,slide,1656.220,7.004036,0.777737,0.808594
0,slide,1662.148,7.004036,0.777737,0.808594
0,slide,1668.343,7.004036,0.777737,0.808594
0,slide,1674.277,7.027588,0.776761,0.808594
0,slide,1680.754,7.058952,0.776761,0.808594
0,slide,1686.832,7.094566,0.776761,0.808594
0,slide,1693.450,7.126575,0.776761,0.808594
0,slide,1699.157,7.160263,0.776761,0.808594
0,slide,1704.916,7.183456,0.776761,0.808594
0,slide,1710.584,7.214947,0.776761,0.808594
0,slide,1716.420,7.214947,0.777737,0.808594
0,slide,1722.021,7.214947,0.777737,0.808594
0,slide,1727.995,7.214947,0.777737,0.808594
0,slide,1733.946,7.240330,0.776761,0.808594
0,slide,1739.828,7.268948,0.776761,0.808594
0,slide,1746.660,7.311291,0.776761,0.808594
0,slide,1752.918,7.339256,0.776761,0.808594
0,slide,1758.587,7.371174,0.776761,0.808594
0,slide,1764.383,7.396320,0.776761,0.808594
0,slide,1770.117,7.427017,0.776761,0.808594
0,slide,1775.978,7.428062,0.777737,0.808594
0,slide,1781.633,7.428062,0.777737,0.808594
0,slide,1787.560,7.432457,0.776761,0.808594
0,slide,1793.413,7.464306,0.776761,0.808594
0,slide,1799.126,7.497505,0.776761,0.808594
0,slide,1805.588,7.535954,0.776761,0.808594
0,slide,1811.558,7.572853,0.776761,0.808594
0,slide,1818.064,7.608154,0.776761,0.808594
0,slide,1823.582,7.638973,0.776761,0.808594
0,slide,1829.160,7.638977,0.777737,0.808594
0,slide,1834.817,7.638977,0.777737,0.808594
0,slide,1840.752,7.644470,0.776761,0.808594
0,slide,1846.412,7.677845,0.776761,0.808594
0,slide,1852.369,7.709946,0.776761,0.808594
0,slide,1858.185,7.743755,0.776761,0.808594
0,slide,1864.266,7.777641,0.776761,0.808594
0,slide,1872.285,7.824520,0.776761,0.808594
0,slide,2218.602,4.645061,0.776761,0.808594
0,slide,2224.563,4.647015,0.777737,0.808594
0,slide,2230.250,4.647015,0.777737,0.808594
0,slide,2235.810,4.647015,0.777737,0.808594
0,slide,2241.293,4.656647,0.780668,0.808594
0,slide,2246.847,4.662861,0.784575,0.808594
0,slide,2252.437,4.663536,0.857490,0.882812
0,slide,2257.986,4.673756,0.876052,0.906250
0,slide,2264.010,4.684437,0.877497,0.908203
0,slide,2269.929,4.693237,0.881384,0.927734
0,slide,2276.023,4.725975,0.881384,0.927734
0,slide,2281.536,4.758812,0.881384,0.927734
0,slide,2287.408,4.790123,0.881384,0.927734
0,slide,2293.485,4.806065,0.796450,0.927734
0,slide,2299.518,4.806095,0.806712,0.927734
0,slide,2305.876,4.806095,0.815501,0.927734
0,slide,2312.603,4.806137,0.815501,0.927734
0,slide,2318.184,4.807178,0.881384,0.927734
0,slide,2323.723,4.830250,0.881384,0.927734
0,slide,2329.689,4.859913,0.881384,0.927734
0,slide,2335.759,4.887989,0.881384,0.927734
0,slide,2341.965,4.922962,0.881384,0.927734
0,slide,2347.808,4.923328,0.790560,0.927734
0,slide,2353.928,4.923328,0.794970,0.927734
0,slide,2359.708,4.923328,0.809642,0.927734
0,slide,2365.252,4.923328,0.815501,0.927734
0,slide,2371.599,4.923332,0.881384,0.927734
0,slide,2377.946,4.923332,0.796930,0.927734
0,slide,2384.187,4.923332,0.815501,0.927734
0,slide,2391.287,4.923336,0.815501,0.927734
0,slide,2397.781,4.923336,0.815501,0.927734
0,slide,2403.508,4.923344,0.857493,0.927734
0,slide,2409.863,4.923344,0.881384,0.927734
0,slide,2416.274,4.923344,0.800852,0.927734
0,slide,2422.244,4.923344,0.815501,0.927734
0,slide,2429.293,4.923344,0.815501,0.927734
0,slide,2435.321,4.923344,0.815501,0.927734
0,slide,2441.044,4.923344,0.841868,0.927734
0,slide,2447.213,4.923344,0.881384,0.927734
0,slide,2453.291,4.923344,0.788609,0.927734
0,slide,2459.193,4.923351,0.800852,0.927734
0,slide,2467.604,4.923351,0.815501,0.927734
