run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,213.141,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,239.561,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,265.746,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,291.983,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,318.263,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,344.616,9.707258,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,371.055,9.707258,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,397.173,9.707258,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,423.680,9.777480,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,450.244,9.777556,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,478.248,9.777549,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,510.812,9.777541,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,538.797,9.777480,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,565.017,9.315986,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,592.125,8.571928,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,618.583,8.352558,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,645.007,8.200084,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,671.440,8.063054,10.703125,1.468807
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,697.887,8.015993,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,724.851,7.882868,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,751.134,7.773181,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,777.338,7.616620,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,803.452,7.514749,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,829.683,7.381625,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,856.140,7.232875,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,882.343,7.150776,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,908.453,7.091935,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,934.773,6.868841,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,960.970,6.817873,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,986.958,6.684749,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,1013.484,6.551625,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,1039.888,6.418500,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,1066.336,6.285376,10.703125,1.468811
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,1092.741,6.152252,10.703125,1.468811
